
# = Clock number (1-4)
T = Clock Type; 1 = Rubidium, 2 = Cesium
times are in seconds since Unix Epoch (1/1/1970 00:00:00)

SVN #/T PRN Start_Time - Stop_Time   => Clk_Turn-on
 025 1/1 25 1135468800 - 1265656500  => 1135468800
 062 3/2 25 1275868800 - 1278979200  => 1275868800
 062 1/1 25 1278979200 - 99999999999  => 1278979200
 026 3/2 26  710467200 -  889488000  =>  710467200
 026 1/1 26  889488000 - 1329148800  =>  889488000
 026 2/1 26 1329148800 - 1420497000  => 1329148800
 032 3/2 26 1423176300 - 1424794500  =>  840412800
 027 4/2 26 1426035600 - 1426526100  => 1116547200
 071 1/1 26 1427691600 - 99999999999  => 1427691600
 027 3/2 27  715996800 - 1023667200  =>  715996800
 027 2/1 27 1023667200 - 1025136000  => 1023667200
 027 1/1 27 1025136000 - 1116547200  => 1025136000
 027 4/2 27 1116547200 - 1350489600  => 1116547200
 049 2/1 27 1350604800 - 1363204800  => 1238112000
 066 2/1 27 1363629600 - 1363709700  => 1363629600
 049 2/1 27 1364500800 - 1368054000  => 1238112000
 066 2/1 27 1370016000 - 99999999999  => 1370016000
 028 3/2 28  702864000 -  847065600  =>  702864000
 044 1/1 28  964483200 -  965865600  =>  964483200
 044 2/1 28  965865600 - 99999999999  =>  965865600
 029 4/2 29  724636800 -  864172800  =>  724636800
 029 1/1 29  864172800 - 1156982400  =>  864172800
 029 2/1 29 1156982400 - 1173139200  => 1156982400
 029 3/2 29 1173139200 - 1193168280  => 1173139200
 057 3/1 29 1198368000 - 99999999999  => 1198368000
 030 4/2 30  843782400 -  999043200  =>  843782400
 030 2/1 30  999043200 - 1142553600  =>  999043200
 030 1/1 30 1142553600 - 1149206400  => 1142553600
 030 3/2 30 1149206400 - 1311163200  => 1149206400
 035 1/1 30 1312570800 - 1367872200  => 1126051200
 049 2/1 30 1368115200 - 1375908300  => 1238112000
 064 2/1 30 1376524800 - 1376696700  => 1376524800
 032 3/2 30 1377212400 - 1379347200  =>  840412800
 037 2/1 30 1379628000 - 1381173300  => 1187654400
 027 4/2 30 1386101700 - 1387304100  => 1116547200
 049 2/1 30 1387476900 - 1392066000  => 1238112000
 064 2/1 30 1393309800 - 99999999999  => 1393309800
 031 4/2 31  733449600 -  790387200  =>  733449600
 031 2/1 31  790387200 -  869616000  =>  790387200
 031 3/2 31  869616000 - 1018828800  =>  869616000
 031 1/1 31 1018828800 - 1130193720  => 1018828800
 052 3/1 31 1159488000 - 99999999999  => 1159488000
 032 4/2 32  722390400 -  728179200  =>  722390400
 023 2/1 32 1164931200 - 99999999999  => 1164931200
